"# Generated by write_osm_objects_report from LangToolsOSM 0.0.15 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), query=[out:json][timeout:1000]; rel(253256);map_to_area->.divisio; nwr(area.divisio)[wikidata][name][!'name:ca']; out tags qt;"	""	""	""	""	""	""	""	""	""	""
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"multilang_names"	"all_tags"
"relation"	2817790	"European route E 115"			""	"E115"	"E115"	"Q1375790"	"name:de=Europastraße 115, name:en=European route E 115, name:fr=Route européenne E 115, name:nl=Europese route E115, name:ru=Европейский маршрут E 115, name:sk=Európska cesta E 115"	"{'description': 'Yaroslavl - Moskva - Voronezh - Rostov-on-Don - Krasnodar - Novorossijsk', 'description:fr': 'E 115 Jaroslavl - Novorossiisk', 'name': 'European route E 115', 'name:de': 'Europastraße 115', 'name:en': 'European route E 115', 'name:fr': 'Route européenne E 115', 'name:nl': 'Europese route E115', 'name:ru': 'Европейский маршрут E 115', 'name:sk': 'Európska cesta E 115', 'network': 'e-road', 'ref': 'E 115', 'route': 'road', 'type': 'route', 'wikidata': 'Q1375790', 'wikipedia': 'en:European route E115'}"
"relation"	170359	"Европейский маршрут E 592"			""	"E592"	"E592"	"Q2137859"	"name:en=European route E 592, name:fr=Route européenne E 592, name:nl=Europese route E592, name:ru=Европейский маршрут E 592"	"{'description:fr': 'E 592 Krasnodar - Djoubga', 'name': 'Европейский маршрут E 592', 'name:en': 'European route E 592', 'name:fr': 'Route européenne E 592', 'name:nl': 'Europese route E592', 'name:ru': 'Европейский маршрут E 592', 'network': 'e-road', 'ref': 'E 592', 'route': 'road', 'type': 'route', 'wikidata': 'Q2137859'}"
"relation"	365285	"Тахтамукайский район"			""	"raion de Takhtamukai"	""	"Q260333"	"name:ady=Тэхъутэмыкъое къедзыгъо, name:ce=Тахтамукайн кӀошт, name:en=Takhtamukaysky District, name:it=Tachtamukajskij rajon, name:kbd=Тэхъутэмыкъуае къедзыгъуэ, name:pl=Rejon tachtamukajski, name:ru=Тахтамукайский район"	"{'admin_level': '6', 'border_type': 'district', 'boundary': 'administrative', 'name': 'Тахтамукайский район', 'name:ady': 'Тэхъутэмыкъое къедзыгъо', 'name:ce': 'Тахтамукайн кӀошт', 'name:en': 'Takhtamukaysky District', 'name:it': 'Tachtamukajskij rajon', 'name:kbd': 'Тэхъутэмыкъуае къедзыгъуэ', 'name:pl': 'Rejon tachtamukajski', 'name:ru': 'Тахтамукайский район', 'official_status': 'ru:муниципальный район', 'type': 'boundary', 'wikidata': 'Q260333', 'wikipedia': 'ru:Тахтамукайский район'}"
"relation"	953560	"Теучежский район"			""	"raion de Teutxej"	""	"Q717359"	"name:en=Teuchezhsky District, name:ru=Теучежский район"	"{'addr:country': 'RU', 'addr:region': 'Адыгея', 'admin_level': '6', 'border_type': 'district', 'boundary': 'administrative', 'name': 'Теучежский район', 'name:en': 'Teuchezhsky District', 'name:ru': 'Теучежский район', 'official_status': 'ru:муниципальный район', 'type': 'boundary', 'wikidata': 'Q717359', 'wikipedia': 'ru:Теучежский район'}"
"relation"	365283	"Гиагинский район"			""	"Raion de Guiaguinskaia, districte de Guiaguinskaia"	""	"Q1010262"	"name:en=Giaginsky District, name:ru=Гиагинский район"	"{'addr:country': 'RU', 'addr:region': 'Адыгея', 'admin_level': '6', 'border_type': 'district', 'boundary': 'administrative', 'name': 'Гиагинский район', 'name:en': 'Giaginsky District', 'name:ru': 'Гиагинский район', 'official_status': 'ru:муниципальный район', 'type': 'boundary', 'wikidata': 'Q1010262', 'wikipedia': 'ru:Гиагинский район'}"
"relation"	5440297	"Сергиевское сельское поселение"			""	"Sergiyevskoye"	""	"Q4417086"	""	"{'addr:region': 'Адыгея', 'admin_level': '8', 'boundary': 'administrative', 'name': 'Сергиевское сельское поселение', 'official_status': 'ru:сельское поселение', 'type': 'boundary', 'wikidata': 'Q4417086', 'wikipedia': 'ru:Сергиевское сельское поселение (Адыгея)'}"
"relation"	5455560	"Краснооктябрьское сельское поселение"			""	"assentament rural de Krasnooktiabrski"	""	"Q4238872"	""	"{'addr:region': 'Адыгея', 'admin_level': '8', 'boundary': 'administrative', 'name': 'Краснооктябрьское сельское поселение', 'official_status': 'ru:сельское поселение', 'type': 'boundary', 'wikidata': 'Q4238872', 'wikipedia': 'ru:Краснооктябрьское сельское поселение (Адыгея)'}"
"relation"	5455559	"Кировское сельское поселение"			""	"assentament rural de Kirov"	""	"Q4221745"	""	"{'addr:region': 'Адыгея', 'admin_level': '8', 'boundary': 'administrative', 'name': 'Кировское сельское поселение', 'official_status': 'ru:сельское поселение', 'type': 'boundary', 'wikidata': 'Q4221745', 'wikipedia': 'ru:Кировское сельское поселение (Адыгея)'}"
"relation"	953559	"Красногвардейский район"			""	"raion de Krasnogvardéiskoie"	""	"Q1074879"	"name:en=Krasnogvardeysky District, name:ru=Красногвардейский район"	"{'addr:country': 'RU', 'addr:region': 'Адыгея', 'admin_level': '6', 'border_type': 'district', 'boundary': 'administrative', 'name': 'Красногвардейский район', 'name:en': 'Krasnogvardeysky District', 'name:ru': 'Красногвардейский район', 'official_status': 'ru:муниципальный район', 'type': 'boundary', 'wikidata': 'Q1074879', 'wikipedia': 'ru:Красногвардейский район (Адыгея)'}"
"relation"	365284	"Кошехабльский район"			""	"raion de Koixekhabl"	""	"Q717355"	"name:en=Koshekhablsky District, name:ru=Кошехабльский район"	"{'addr:country': 'RU', 'addr:region': 'Адыгея', 'admin_level': '6', 'border_type': 'district', 'boundary': 'administrative', 'name': 'Кошехабльский район', 'name:en': 'Koshekhablsky District', 'name:ru': 'Кошехабльский район', 'official_status': 'ru:муниципальный район', 'type': 'boundary', 'wikidata': 'Q717355', 'wikipedia': 'ru:Кошехабльский район'}"
